id,first_seen,transaction_count,customer_count,fraud_count
dev_000068,2024-01-12 00:00:00,2,2,0
dev_000069,2024-06-08 00:00:00,4,2,0
dev_000070,2024-03-19 00:00:00,3,3,0
dev_000071,2024-05-29 00:00:00,1,1,0
dev_000072,2024-11-07 00:00:00,1,1,0
dev_000073,2024-03-26 00:00:00,4,4,0
dev_000074,2024-01-22 00:00:00,0,0,0
dev_000075,2024-04-12 00:00:00,0,0,0
dev_000076,2024-04-17 00:00:00,0,0,0
dev_000077,2024-08-29 00:00:00,4,4,0
dev_000078,2024-07-22 00:00:00,3,3,0
dev_000079,2024-10-13 00:00:00,2,2,1
dev_000080,2024-08-30 00:00:00,4,4,0
dev_000081,2024-05-28 00:00:00,10,3,0
dev_000082,2024-10-24 00:00:00,0,0,0
dev_000083,2024-03-01 00:00:00,4,4,0
dev_000084,2024-01-09 00:00:00,3,3,0
dev_000085,2024-02-02 00:00:00,0,0,0
dev_000086,2024-09-20 00:00:00,541,8,0
dev_000087,2024-06-17 00:00:00,3,3,0
dev_000088,2024-02-28 00:00:00,1,1,0
dev_000089,2024-07-01 00:00:00,1,1,0
dev_000090,2024-02-25 00:00:00,2,2,0
dev_000091,2024-09-11 00:00:00,2,2,0
dev_000092,2024-06-11 00:00:00,2,2,0
dev_000093,2024-05-19 00:00:00,2,2,0
dev_000094,2024-04-20 00:00:00,1,1,0
dev_000095,2024-08-18 00:00:00,7,5,0
dev_000096,2024-05-12 00:00:00,1,1,0
dev_000097,2024-02-01 00:00:00,0,0,0
dev_000098,2024-02-13 00:00:00,1,1,0
dev_000099,2024-12-17 00:00:00,5,3,0
dev_000100,2024-11-27 00:00:00,2,2,0
dev_000101,2024-09-12 00:00:00,1,1,0
dev_000102,2024-04-07 00:00:00,2,2,1
dev_000103,2024-12-19 00:00:00,18,4,0
dev_000104,2024-10-11 00:00:00,4,4,0
dev_000105,2024-09-18 00:00:00,2,2,0
dev_000106,2024-06-13 00:00:00,3,3,1
dev_000107,2024-04-09 00:00:00,1,1,0
dev_000108,2024-02-05 00:00:00,0,0,0
dev_000109,2024-11-25 00:00:00,0,0,0
dev_000110,2024-06-15 00:00:00,13,5,0
dev_000111,2024-03-14 00:00:00,0,0,0
dev_000112,2024-04-21 00:00:00,2,2,0
dev_000113,2024-07-30 00:00:00,3,3,0
dev_000114,2024-03-05 00:00:00,3,3,0
dev_000115,2024-11-08 00:00:00,4,3,0
dev_000116,2024-10-03 00:00:00,3,3,0
dev_000117,2024-09-19 00:00:00,27,2,0
dev_000118,2024-06-06 00:00:00,2,2,0
dev_000119,2024-08-16 00:00:00,5,2,0
dev_000120,2024-08-01 00:00:00,2,2,0
dev_000121,2024-08-25 00:00:00,4,4,0
dev_000122,2024-01-31 00:00:00,15,4,0
dev_000123,2024-05-31 00:00:00,2,2,1
dev_000124,2024-01-16 00:00:00,0,0,0
dev_000125,2024-06-29 00:00:00,4,4,0
dev_000126,2024-04-30 00:00:00,1,1,0
dev_000127,2024-02-22 00:00:00,3,3,0
dev_000128,2024-02-07 00:00:00,0,0,0
dev_000129,2024-08-02 00:00:00,14,2,0
dev_000130,2024-03-03 00:00:00,1,1,0
dev_000131,2024-12-03 00:00:00,2,2,0
dev_000132,2024-07-31 00:00:00,1,1,0
dev_000133,2024-05-06 00:00:00,4,4,0
dev_000134,2024-08-03 00:00:00,2,2,1
dev_000135,2024-01-09 00:00:00,20,3,0
dev_000136,2024-12-15 00:00:00,0,0,0
dev_000137,2024-06-25 00:00:00,3,3,0
dev_000138,2024-10-12 00:00:00,2,2,0
dev_000139,2024-01-31 00:00:00,1,1,0
dev_000140,2024-06-26 00:00:00,15,2,0
dev_000141,2024-06-28 00:00:00,1,1,0
dev_000142,2024-12-08 00:00:00,0,0,0
dev_000143,2024-07-27 00:00:00,3,3,0
dev_000144,2024-06-21 00:00:00,2,2,0
dev_000145,2024-04-07 00:00:00,3,2,0
dev_000146,2024-05-01 00:00:00,0,0,0
dev_000147,2024-07-09 00:00:00,1,1,0
dev_000148,2024-06-09 00:00:00,2,1,0
dev_000149,2024-01-08 00:00:00,2,2,0
dev_000150,2024-10-28 00:00:00,4,4,0
dev_000151,2024-11-23 00:00:00,2,2,0
dev_000152,2024-02-21 00:00:00,3,3,1
dev_000153,2024-07-21 00:00:00,3,3,0
dev_000154,2024-02-09 00:00:00,6,6,0
dev_000155,2024-09-02 00:00:00,3,3,0
dev_000156,2024-04-12 00:00:00,4,2,0
dev_000157,2024-08-28 00:00:00,5,5,0
dev_000158,2024-09-22 00:00:00,2,2,0
dev_000159,2024-10-07 00:00:00,4,4,0
dev_000160,2024-02-09 00:00:00,90,3,0
dev_000161,2024-11-30 00:00:00,1,1,0
dev_000162,2024-03-25 00:00:00,1,1,0
dev_000163,2024-01-14 00:00:00,8,4,0
dev_000164,2024-07-21 00:00:00,1,1,0
dev_000165,2024-05-15 00:00:00,8,3,0
dev_000166,2024-10-29 00:00:00,1,1,0
dev_000167,2024-10-22 00:00:00,2,2,0
dev_000168,2024-04-25 00:00:00,1,1,0
dev_000169,2024-12-13 00:00:00,1,1,0
dev_000170,2024-04-16 00:00:00,5,5,0
dev_000171,2024-07-06 00:00:00,1,1,0
dev_000172,2024-04-03 00:00:00,0,0,0
dev_000173,2024-12-07 00:00:00,4,4,0
dev_000174,2024-03-01 00:00:00,3,3,0
dev_000175,2024-01-17 00:00:00,4,4,0
dev_000176,2024-06-07 00:00:00,0,0,0
dev_000177,2024-12-28 00:00:00,8,8,1
dev_000178,2024-11-21 00:00:00,3,3,0
dev_000179,2024-09-30 00:00:00,3,3,0
dev_000180,2024-11-21 00:00:00,2,2,0
dev_000181,2024-11-22 00:00:00,1,1,0
dev_000182,2024-07-08 00:00:00,1,1,0
dev_000183,2024-04-25 00:00:00,0,0,0
dev_000184,2024-10-08 00:00:00,0,0,0
dev_000185,2024-08-29 00:00:00,10,7,0
dev_000186,2024-05-16 00:00:00,2,2,2
dev_000187,2024-02-04 00:00:00,2,2,0
dev_000188,2024-09-29 00:00:00,1,1,0
dev_000189,2024-04-05 00:00:00,0,0,0
dev_000190,2024-12-07 00:00:00,2,2,0
dev_000191,2024-03-28 00:00:00,0,0,0
dev_000192,2024-02-14 00:00:00,2,2,0
dev_000193,2024-10-30 00:00:00,5,3,0
dev_000194,2024-02-25 00:00:00,1,1,1
dev_000195,2024-03-06 00:00:00,0,0,0
dev_000196,2024-08-06 00:00:00,1,1,0
dev_000197,2024-11-15 00:00:00,0,0,0
dev_000198,2024-03-12 00:00:00,8,4,0
dev_000199,2024-04-23 00:00:00,2,2,0
dev_000200,2024-10-10 00:00:00,2,2,0
dev_000201,2024-12-20 00:00:00,1,1,0
dev_000202,2024-07-01 00:00:00,2,2,0
dev_000203,2024-02-22 00:00:00,1,1,0
dev_000204,2024-01-06 00:00:00,2,2,0
dev_000205,2024-03-24 00:00:00,4,3,0
dev_000206,2024-02-18 00:00:00,2,2,0
dev_000207,2024-09-04 00:00:00,0,0,0
dev_000208,2024-02-14 00:00:00,3,3,0
dev_000209,2024-07-03 00:00:00,2,2,0
dev_000210,2024-09-10 00:00:00,4,4,0
dev_000211,2024-07-31 00:00:00,3,3,1
dev_000212,2024-03-13 00:00:00,4,4,0
dev_000213,2024-10-20 00:00:00,0,0,0
dev_000214,2024-09-18 00:00:00,1,1,0
dev_000215,2024-09-26 00:00:00,4,4,0
dev_000216,2024-02-17 00:00:00,0,0,0
dev_000217,2024-02-15 00:00:00,3,3,1
dev_000218,2024-12-04 00:00:00,2,2,0
dev_000219,2024-05-25 00:00:00,2,2,0
dev_000220,2024-04-19 00:00:00,1,1,0
dev_000221,2024-06-27 00:00:00,3,3,0
dev_000222,2024-08-29 00:00:00,1,1,1
dev_000223,2024-12-14 00:00:00,1,1,0
dev_000224,2024-04-14 00:00:00,1,1,1
dev_000225,2024-12-03 00:00:00,404,1,0
dev_000226,2024-01-10 00:00:00,2,2,0
dev_000227,2024-07-21 00:00:00,1,1,0
dev_000228,2024-08-19 00:00:00,1,1,0
dev_000229,2024-02-08 00:00:00,2,2,0
dev_000230,2024-02-21 00:00:00,1,1,0
dev_000231,2024-06-01 00:00:00,1,1,0
dev_000232,2024-12-18 00:00:00,11,3,0
dev_000233,2024-08-05 00:00:00,1,1,0
dev_000234,2024-12-06 00:00:00,2,2,0
dev_000235,2024-10-20 00:00:00,5,5,0
dev_000236,2024-06-19 00:00:00,1,1,0
dev_000237,2024-10-13 00:00:00,1,1,0
dev_000238,2024-01-07 00:00:00,2,2,0
dev_000239,2024-02-09 00:00:00,6,3,0
dev_000240,2024-10-29 00:00:00,0,0,0
dev_000241,2024-10-17 00:00:00,2,2,0
dev_000242,2024-03-25 00:00:00,6,5,0
dev_000243,2024-07-12 00:00:00,1,1,0
dev_000244,2024-08-09 00:00:00,0,0,0
dev_000245,2024-11-12 00:00:00,1,1,0
dev_000246,2024-08-08 00:00:00,3,3,0
dev_000247,2024-05-30 00:00:00,0,0,0
dev_000248,2024-05-16 00:00:00,2,2,0
dev_000249,2024-06-04 00:00:00,1,1,0
dev_000250,2024-08-25 00:00:00,4,4,0
dev_000251,2024-11-12 00:00:00,1,1,0
dev_000252,2024-06-14 00:00:00,5,5,1
dev_000253,2024-03-31 00:00:00,4,4,0
dev_000254,2024-03-27 00:00:00,3,3,0
dev_000255,2024-09-29 00:00:00,2,2,0
dev_000256,2024-10-25 00:00:00,3,3,0
dev_000257,2024-02-08 00:00:00,2,2,0
dev_000258,2024-01-25 00:00:00,4,3,0
dev_000259,2024-08-04 00:00:00,0,0,0
dev_000260,2024-02-23 00:00:00,0,0,0
dev_000261,2024-10-28 00:00:00,8,4,0
dev_000262,2024-04-23 00:00:00,1,1,0
dev_000263,2024-02-22 00:00:00,3,3,0
dev_000264,2024-12-02 00:00:00,2,2,0
dev_000265,2024-03-01 00:00:00,1,1,0
dev_000266,2024-04-13 00:00:00,4,4,0
dev_000267,2024-02-26 00:00:00,2,2,0
dev_000268,2024-02-12 00:00:00,2,2,0
dev_000269,2024-01-08 00:00:00,1,1,0
dev_000270,2024-01-21 00:00:00,2,2,0
dev_000271,2024-03-04 00:00:00,2,2,0
dev_000272,2024-01-20 00:00:00,6,6,0
dev_000273,2024-08-03 00:00:00,21,3,1
dev_000274,2024-09-05 00:00:00,3,3,0
dev_000275,2024-05-23 00:00:00,1,1,0
dev_000276,2024-04-26 00:00:00,2,2,0
dev_000277,2024-07-03 00:00:00,0,0,0
dev_000278,2024-11-15 00:00:00,1,1,0
dev_000279,2024-11-06 00:00:00,4,4,1
dev_000280,2024-01-16 00:00:00,1,1,0
dev_000281,2024-03-07 00:00:00,3,3,1
dev_000282,2024-03-27 00:00:00,2,2,0
dev_000283,2024-04-01 00:00:00,2,2,0
dev_000284,2024-07-27 00:00:00,5,1,0
dev_000285,2024-05-31 00:00:00,0,0,0
dev_000286,2024-01-18 00:00:00,11,2,0
dev_000287,2024-05-16 00:00:00,4,4,0
dev_000288,2024-07-10 00:00:00,1,1,0
dev_000289,2024-02-07 00:00:00,2,2,1
dev_000290,2024-10-31 00:00:00,2,2,0
dev_000291,2024-01-19 00:00:00,1,1,0
dev_000292,2024-12-03 00:00:00,2,2,0
dev_000293,2024-02-06 00:00:00,3,3,0
dev_000294,2024-11-03 00:00:00,2,2,0
dev_000295,2024-11-25 00:00:00,2,2,0
dev_000296,2024-12-23 00:00:00,3,3,0
dev_000297,2024-10-19 00:00:00,0,0,0
dev_000298,2024-10-11 00:00:00,3,3,0
dev_000299,2024-08-22 00:00:00,3,3,0
dev_000300,2024-10-11 00:00:00,3,3,0
dev_000301,2024-02-19 00:00:00,1,1,0
dev_000302,2024-07-14 00:00:00,8,3,0
dev_000303,2024-07-06 00:00:00,3,3,0
dev_000304,2024-11-09 00:00:00,0,0,0
dev_000305,2024-06-17 00:00:00,2,2,0
dev_000306,2024-05-20 00:00:00,22,4,0
dev_000307,2024-08-21 00:00:00,4,4,1
dev_000308,2024-04-07 00:00:00,28,5,0
dev_000309,2024-02-21 00:00:00,50,3,1
dev_000310,2024-06-23 00:00:00,0,0,0
dev_000311,2024-06-01 00:00:00,3,3,0
dev_000312,2024-03-25 00:00:00,45,1,0
dev_000313,2024-05-14 00:00:00,3,3,0
dev_000314,2024-05-13 00:00:00,1,1,0
dev_000315,2024-04-29 00:00:00,0,0,0
dev_000316,2024-05-18 00:00:00,1,1,0
dev_000317,2024-09-07 00:00:00,2,2,0
dev_000318,2024-04-18 00:00:00,0,0,0
dev_000319,2024-12-12 00:00:00,4,4,0
dev_000320,2024-11-30 00:00:00,1,1,0
dev_000321,2024-06-24 00:00:00,1,1,0
dev_000322,2024-04-29 00:00:00,0,0,0
dev_000323,2024-07-14 00:00:00,5,5,0
dev_000324,2024-11-05 00:00:00,2,2,0
dev_000325,2024-08-26 00:00:00,0,0,0
dev_000326,2024-10-20 00:00:00,2,2,0
dev_000327,2024-07-13 00:00:00,1,1,0
dev_000328,2024-08-19 00:00:00,1,1,0
dev_000329,2024-04-15 00:00:00,4,4,0
dev_000330,2024-09-25 00:00:00,3,1,0
dev_000331,2024-03-14 00:00:00,6,5,0
dev_000332,2024-09-10 00:00:00,15,5,0
dev_000333,2024-11-10 00:00:00,5,3,0
dev_000334,2024-02-18 00:00:00,2,2,0
dev_000335,2024-08-12 00:00:00,2,2,0
dev_000336,2024-02-04 00:00:00,0,0,0
dev_000337,2024-09-21 00:00:00,3,3,0
dev_000338,2024-01-31 00:00:00,0,0,0
dev_000339,2024-12-07 00:00:00,5,3,0
dev_000340,2024-02-20 00:00:00,3,3,0
dev_000341,2024-12-15 00:00:00,2,2,0
dev_000342,2024-10-19 00:00:00,4,4,0
dev_000343,2024-08-04 00:00:00,1,1,0
dev_000344,2024-10-12 00:00:00,0,0,0
dev_000345,2024-10-17 00:00:00,4,4,0
dev_000346,2024-12-11 00:00:00,2,2,0
dev_000347,2024-04-02 00:00:00,3,3,0
dev_000348,2024-08-03 00:00:00,445,2,0
dev_000349,2024-02-04 00:00:00,4,4,0
dev_000350,2024-08-12 00:00:00,1,1,0
dev_000351,2024-03-03 00:00:00,1,1,0
dev_000352,2024-07-25 00:00:00,1,1,0
dev_000353,2024-07-27 00:00:00,3,3,0
dev_000354,2024-06-19 00:00:00,5,4,0
dev_000355,2024-07-09 00:00:00,0,0,0
dev_000356,2024-10-05 00:00:00,1,1,0
dev_000357,2024-10-18 00:00:00,280,3,0
dev_000358,2024-06-28 00:00:00,3,3,0
dev_000359,2024-08-06 00:00:00,2,2,0
dev_000360,2024-12-05 00:00:00,1,1,0
dev_000361,2024-02-13 00:00:00,0,0,0
dev_000362,2024-02-12 00:00:00,0,0,0
dev_000363,2024-02-02 00:00:00,3,3,0
dev_000364,2024-08-28 00:00:00,1,1,0
dev_000365,2024-06-01 00:00:00,2,2,0
dev_000366,2024-10-09 00:00:00,4,4,1
dev_000367,2024-09-01 00:00:00,1,1,0
dev_000368,2024-05-01 00:00:00,2,2,0
dev_000369,2024-11-23 00:00:00,2,2,0
dev_000370,2024-10-05 00:00:00,2,2,0
dev_000371,2024-04-08 00:00:00,3,3,0
dev_000372,2024-05-12 00:00:00,1,1,0
dev_000373,2024-04-24 00:00:00,1,1,0
dev_000374,2024-02-27 00:00:00,2,2,0
dev_000375,2024-02-23 00:00:00,1,1,0
dev_000376,2024-12-07 00:00:00,1,1,0
dev_000377,2024-06-08 00:00:00,2,2,0
dev_000378,2024-05-19 00:00:00,1,1,0
dev_000379,2024-09-23 00:00:00,4,2,0
dev_000380,2024-07-20 00:00:00,6,3,0
dev_000381,2024-12-07 00:00:00,7,6,0
dev_000382,2024-10-11 00:00:00,1,1,0
dev_000383,2024-06-23 00:00:00,5,5,0
dev_000384,2024-05-17 00:00:00,2,2,0
dev_000385,2024-12-26 00:00:00,0,0,0
dev_000386,2024-09-18 00:00:00,3,3,0
dev_000387,2024-12-13 00:00:00,2,2,0
dev_000388,2024-02-13 00:00:00,1,1,0
dev_000389,2024-11-06 00:00:00,3,3,0
dev_000390,2024-08-20 00:00:00,3,3,0
dev_000391,2024-02-14 00:00:00,2,2,0
dev_000392,2024-08-02 00:00:00,6,2,0
dev_000393,2024-09-07 00:00:00,1,1,0
dev_000394,2024-01-05 00:00:00,2,2,0
dev_000395,2024-06-14 00:00:00,4,4,0
dev_000396,2024-10-28 00:00:00,1,1,0
dev_000397,2024-04-17 00:00:00,1,1,0
dev_000398,2024-06-16 00:00:00,1,1,0
dev_000399,2024-06-10 00:00:00,25,2,0
dev_000400,2024-04-20 00:00:00,2,2,0
dev_000401,2024-12-01 00:00:00,0,0,0
dev_000402,2024-10-12 00:00:00,1,1,0
dev_000403,2024-02-10 00:00:00,3,3,0
dev_000404,2024-12-29 00:00:00,2,2,0
dev_000405,2024-11-16 00:00:00,2,2,0
dev_000406,2024-04-13 00:00:00,1,1,0
dev_000407,2024-11-01 00:00:00,1,1,0
dev_000408,2024-02-08 00:00:00,4,4,1
dev_000409,2024-12-30 00:00:00,2,2,0
dev_000410,2024-08-30 00:00:00,6,4,1
dev_000411,2024-08-25 00:00:00,41,5,0
dev_000412,2024-02-03 00:00:00,0,0,0
dev_000413,2024-11-23 00:00:00,3,3,0
dev_000414,2024-01-11 00:00:00,2,2,0
dev_000415,2024-03-28 00:00:00,6,4,0
dev_000416,2024-02-22 00:00:00,2,2,0
dev_000417,2024-10-10 00:00:00,10,4,0
dev_000418,2024-03-13 00:00:00,2,2,0
dev_000419,2024-11-28 00:00:00,3,3,0
dev_000420,2024-08-27 00:00:00,7,3,0
dev_000421,2024-01-14 00:00:00,2,2,0
dev_000422,2024-01-02 00:00:00,0,0,0
dev_000423,2024-01-19 00:00:00,6,3,0
dev_000424,2024-08-09 00:00:00,2,2,0
dev_000425,2024-10-19 00:00:00,1,1,0
dev_000426,2024-03-28 00:00:00,0,0,0
dev_000427,2024-11-06 00:00:00,1,1,0
dev_000428,2024-01-21 00:00:00,1,1,0
dev_000429,2024-10-19 00:00:00,1,1,0
dev_000430,2024-12-04 00:00:00,2,2,0
dev_000431,2024-10-08 00:00:00,6,3,0
dev_000432,2024-09-11 00:00:00,4,3,0
dev_000433,2024-11-01 00:00:00,4,4,0
dev_000434,2024-01-15 00:00:00,4,4,1
dev_000435,2024-03-14 00:00:00,5,4,1
dev_000436,2024-02-15 00:00:00,2,2,0
dev_000437,2024-07-03 00:00:00,1,1,0
dev_000438,2024-09-28 00:00:00,5,3,0
dev_000439,2024-08-17 00:00:00,2,2,0
dev_000440,2024-11-06 00:00:00,1,1,0
dev_000441,2024-02-26 00:00:00,2,2,0
dev_000442,2024-09-25 00:00:00,1,1,0
dev_000443,2024-03-11 00:00:00,2,2,0
dev_000444,2024-04-08 00:00:00,5,5,0
dev_000445,2024-09-16 00:00:00,1,1,0
dev_000446,2024-12-23 00:00:00,2,2,0
dev_000447,2024-08-11 00:00:00,1,1,0
dev_000448,2024-01-20 00:00:00,8,3,0
dev_000449,2024-08-12 00:00:00,1,1,0
dev_000450,2024-01-16 00:00:00,1,1,0
dev_000451,2024-11-18 00:00:00,5,5,0
dev_000452,2024-09-15 00:00:00,2,2,0
dev_000453,2024-03-04 00:00:00,1,1,1
dev_000454,2024-02-03 00:00:00,3,3,0
dev_000455,2024-03-07 00:00:00,1,1,0
dev_000456,2024-12-23 00:00:00,1,1,0
dev_000457,2024-06-16 00:00:00,1,1,0
dev_000458,2024-10-13 00:00:00,2,2,0
dev_000459,2024-08-20 00:00:00,1,1,0
dev_000460,2024-07-27 00:00:00,1,1,0
dev_000461,2024-02-22 00:00:00,2,2,0
dev_000462,2024-12-11 00:00:00,3,3,0
dev_000463,2024-04-19 00:00:00,1,1,0
dev_000464,2024-07-29 00:00:00,1,1,0
dev_000465,2024-09-12 00:00:00,2,2,0
dev_000466,2024-08-24 00:00:00,1,1,0
dev_000467,2024-12-09 00:00:00,3,3,0
dev_000468,2024-02-24 00:00:00,2,2,0
dev_000469,2024-07-04 00:00:00,7,4,0
dev_000470,2024-05-27 00:00:00,0,0,0
dev_000471,2024-06-22 00:00:00,2,2,0
dev_000472,2024-02-13 00:00:00,2,2,0
dev_000473,2024-02-18 00:00:00,4,3,1
dev_000474,2024-04-11 00:00:00,3,2,0
dev_000475,2024-04-21 00:00:00,3,3,1
dev_000476,2024-06-05 00:00:00,0,0,0
dev_000477,2024-08-11 00:00:00,0,0,0
dev_000478,2024-08-19 00:00:00,4,3,0
dev_000479,2024-05-30 00:00:00,7,2,0
dev_000480,2024-05-29 00:00:00,3,3,0
dev_000481,2024-03-20 00:00:00,1,1,0
dev_000482,2024-08-02 00:00:00,2,2,0
dev_000483,2024-04-25 00:00:00,3,3,0
dev_000484,2024-01-14 00:00:00,0,0,0
dev_000485,2024-06-01 00:00:00,2,2,0
dev_000486,2024-06-22 00:00:00,3,3,0
dev_000487,2024-03-23 00:00:00,4,4,0
dev_000488,2024-07-27 00:00:00,2,2,0
dev_000489,2024-07-25 00:00:00,1,1,0
dev_000490,2024-09-13 00:00:00,0,0,0
dev_000491,2024-08-24 00:00:00,2,2,0
dev_000492,2024-08-26 00:00:00,0,0,0
dev_000493,2024-04-25 00:00:00,1,1,0
dev_000494,2024-10-14 00:00:00,0,0,0
dev_000495,2024-07-19 00:00:00,1,1,0
dev_000496,2024-06-06 00:00:00,1,1,0
dev_000497,2024-08-16 00:00:00,3,3,1
dev_000498,2024-05-11 00:00:00,0,0,0
dev_000499,2024-07-06 00:00:00,2,2,0
dev_000500,2024-09-25 00:00:00,0,0,0
dev_000501,2024-11-19 00:00:00,1,1,0
dev_000502,2024-12-02 00:00:00,0,0,0
dev_000503,2024-07-02 00:00:00,3,3,0
dev_000504,2024-07-08 00:00:00,3,3,0
dev_000505,2024-10-18 00:00:00,1,1,0
dev_000506,2024-04-24 00:00:00,3,3,0
dev_000507,2024-11-01 00:00:00,4,4,0
dev_000508,2024-06-29 00:00:00,3,3,0
dev_000509,2024-02-12 00:00:00,2,2,0
dev_000510,2024-01-27 00:00:00,29,5,0
dev_000511,2024-11-03 00:00:00,1,1,0
dev_000512,2024-01-21 00:00:00,1,1,1
dev_000513,2024-04-12 00:00:00,0,0,0
dev_000514,2024-05-01 00:00:00,2,2,0
dev_000515,2024-03-04 00:00:00,2,2,0
dev_000516,2024-04-24 00:00:00,6,3,0
dev_000517,2024-09-28 00:00:00,8,3,0
dev_000518,2024-01-06 00:00:00,2,2,0
dev_000519,2024-10-28 00:00:00,2,2,1
dev_000520,2024-11-08 00:00:00,0,0,0
dev_000521,2024-05-15 00:00:00,1,1,0
dev_000522,2024-02-26 00:00:00,3,2,0
dev_000523,2024-08-07 00:00:00,2,2,0
dev_000524,2024-02-13 00:00:00,0,0,0
dev_000525,2024-05-13 00:00:00,3,3,0
dev_000526,2024-12-15 00:00:00,3,3,0
dev_000527,2024-12-29 00:00:00,1,1,0
dev_000528,2024-10-08 00:00:00,7,3,0
dev_000529,2024-04-23 00:00:00,1,1,0
dev_000530,2024-09-07 00:00:00,1,1,0
dev_000531,2024-09-14 00:00:00,2,2,2
dev_000532,2024-05-21 00:00:00,3,2,0
dev_000533,2024-08-21 00:00:00,2,2,0
dev_000534,2024-01-04 00:00:00,0,0,0
dev_000535,2024-03-17 00:00:00,0,0,0
dev_000536,2024-07-10 00:00:00,1,1,0
dev_000537,2024-02-29 00:00:00,5,3,0
dev_000538,2024-03-01 00:00:00,5,5,0
dev_000539,2024-11-01 00:00:00,1,1,0
dev_000540,2024-12-27 00:00:00,3,2,0
dev_000541,2024-07-21 00:00:00,4,4,1
dev_000542,2024-11-02 00:00:00,1,1,0
dev_000543,2024-12-27 00:00:00,2,2,0
dev_000544,2024-02-21 00:00:00,1,1,0
dev_000545,2024-06-12 00:00:00,3,3,0
dev_000546,2024-05-23 00:00:00,1,1,0
dev_000547,2024-01-30 00:00:00,4,4,0
dev_000548,2024-10-02 00:00:00,17,3,0
dev_000549,2024-06-07 00:00:00,21,1,0
dev_000550,2024-06-20 00:00:00,2,2,0
dev_000551,2024-02-24 00:00:00,1,1,0
dev_000552,2024-03-07 00:00:00,1,1,0
dev_000553,2024-11-27 00:00:00,3,3,1
dev_000554,2024-01-17 00:00:00,4,4,0
dev_000555,2024-03-25 00:00:00,5,5,0
dev_000556,2024-04-16 00:00:00,1,1,0
dev_000557,2024-06-27 00:00:00,3,3,0
